molecule_name,MolWt,HeavyAtomMolWt,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticRings,NumAromaticRings,NumHAcceptors,NumHDonors,NumSaturatedRings,MolMR,NumAtoms,NumBonds,NumChiralCenters,Formal_Charge,Num_Radical_Electrons,Num_Valence_Electrons,Num_rings,Longest_Ring_Size,shortest_Ring_Size,Num_Heteroatoms,Num_NonCommonElements
TORXII,280.4080000000001,252.18399999999997,20,1,3,0,0,2,1,0,75.92630000000003,48,50,6,0,2,100,3,7,3,3,0
ZUVPUE,268.31199999999995,252.18399999999997,20,0,3,0,0,2,0,0,73.91950000000003,36,37,0,0,16,74,2,6,6,3,0
YOLGIS,232.21400000000003,223.142,17,1,4,0,0,2,1,0,55.521200000000015,26,27,0,0,14,54,2,6,6,5,0
SOJDEA,158.22600000000008,148.146,10,1,3,0,0,2,1,0,40.036200000000015,20,20,0,0,4,40,1,5,5,4,0
RUKPET01,208.30400000000003,192.176,16,0,0,0,0,0,0,0,67.32000000000002,32,33,0,0,14,66,2,6,6,0,0
YEXNIZ,303.3139999999997,286.178,22,0,6,0,0,4,0,0,74.36400000000003,39,40,0,0,14,80,2,6,5,6,0
EHABUL,359.5979999999999,318.27000000000004,26,1,2,0,0,1,1,0,106.65220000000004,67,70,7,0,2,140,4,6,5,2,0
CACZAJ,292.313,279.209,22,0,3,0,0,2,0,0,76.84750000000003,35,38,0,0,18,76,4,6,5,4,0
PMOXMB,352.3429999999997,332.18300000000005,25,0,9,0,0,4,0,0,76.26250000000005,45,46,2,0,12,92,2,6,4,9,0
QEZBIG,419.47599999999954,384.1960000000002,24,1,3,0,0,2,1,0,103.95030000000008,59,60,5,0,2,120,2,5,5,5,2
POJHOO,235.28300000000007,218.147,17,1,4,0,0,3,1,0,61.42730000000002,34,35,0,0,8,70,2,6,6,4,0
BOTTIQ,412.6139999999999,372.29400000000015,30,0,3,0,0,0,0,0,113.44050000000004,70,74,9,0,6,148,5,6,3,3,0
HAQDIP,604.9360000000003,568.6480000000001,40,4,4,0,0,8,4,0,176.5867999999998,76,80,0,0,24,160,5,24,6,8,0
GUZSAW,283.283,270.179,21,0,5,0,0,2,0,0,68.55050000000001,34,36,2,0,16,72,3,6,4,5,0
