molecule_name,state,eh_distance,predicted_eh_distance,max_positive_charge,max_negative_charge,total_positive_charge,total_negative_charge,predicted_max_positive_charge,predicted_max_negative_charge,predicted_total_positive_charge,predicted_total_negative_charge
TORXII,T4,1.2989922115404025,1.1487244362317337,0.51481134,0.3414221,1.0,0.0,0.4392,0.2957,1.011,-0.0061
TORXII,T2,0.5136071542081728,0.3792527027941662,0.5253235,0.5290452,0.99999994,0.0,0.512,0.5317,1.005,-0.005848
TORXII,S3,1.9692379871577137,0.2026247408520926,0.48392335,0.29900578,1.0,0.0,0.4353,0.6924,1.002,-0.02158
TORXII,S1,0.6185409549521064,0.6238778179542013,0.52312654,0.75717145,1.0000001,0.0,0.548,0.761,1.012,-0.0059
TORXII,T3,0.3756259624721633,0.5363521776954059,0.48574772,0.7359252,0.9999999,0.0,0.4927,0.721,0.9985,-0.04346
TORXII,S2,0.3668459262298125,1.515940424395904,0.45566595,0.69000804,1.0,0.0,0.478,0.3564,1.011,-0.012436
TORXII,T1,0.6069333586826199,0.6221638715546287,0.5221617,0.75200206,1.0,0.0,0.552,0.7715,1.03,-0.02333
TORXII,S4,3.0041087833853064,2.162703087824635,0.49667045,0.28504053,1.0,0.0,0.474,0.236,1.023,-0.02834
ZUVPUE,T4,0.2956381492696868,0.3866989568561119,0.13282329,0.112716675,0.99999994,0.0,0.144,0.1353,1.003,-0.003063
ZUVPUE,T2,1.223852826314468,1.1852330571234986,0.3844668,0.6779384,1.0,0.0,0.3677,0.6816,1.011,-0.000615
ZUVPUE,S3,1.3936068781996014,0.8707959464324266,0.23150049,0.13021396,1.0000001,0.0,0.1543,0.1083,1.003,-0.001875
ZUVPUE,S1,1.33800918533685,1.3438597675057211,0.34768033,0.6378247,1.0000001,0.0,0.3088,0.595,1.002,-0.000779
ZUVPUE,T3,0.6836349453947786,0.5385040992609267,0.14595975,0.20274356,1.0000001,0.0,0.1666,0.2164,1.004,-0.002115
